
Offer ID,Sponsor Name,Title (English),Title (Localized),Description (English),Description (Localized),Terms and Conditions (English) 'NULLABLE',Terms and Conditions (Localized) 'NULLABLE',Discount Amount 'NULLABLE',Discount Percentage 'NULLABLE',Start Validity Period,End Validity Period,Max Redemptions 'NULLABLE',PromoCode 'NULLABLE'
OFFER-001,Koshary Abou Tarek,Loyalty Koshary Deal,عرض الكشري الدائم,Get a free extra-large koshary when you order two regular-sized portions.,احصل على كشري كبير مجاني عند طلب حجمين عاديين.,One free portion per visit. Dine-in only.,حصة مجانية واحدة لكل زيارة. للأكل داخل المطعم فقط.,,0%,01/06/2026,31/12/2026,500,KOSHARY2GET1
OFFER-002,Koshary Abou Tarek,Student Discount,خصم الطلاب,Show your student ID and enjoy 10% off your entire order.,أرِ بطاقتك الطلابية واستمتع بخصم 10% على طلبك كامله.,Valid with a valid student ID only.,ساري ببطاقة طالب سارية فقط.,,10%,01/06/2026,31/12/2026,,STUDENT10
OFFER-003,Felfela Restaurant,Historic Cairo Tasting Menu,قائمة تذوق القاهرة التاريخية,Enjoy a curated 3-course Egyptian tasting menu for two at a special price of 350 EGP.,استمتع بقائمة تذوق مصرية من 3 أطباق لشخصين بسعر مميز 350 جنيه مصري.,Valid for dine-in only. Reservations recommended. Not valid on public holidays.,للأكل داخل المطعم فقط. يُنصح بالحجز المسبق. غير ساري في الأعياد الرسمية.,350,,01/06/2026,30/09/2026,200,FELFELA350
OFFER-004,Felfela Restaurant,Weekday Lunch Special,عرض غداء أيام الأسبوع,Get 15% off your lunch bill Sunday through Thursday between 12:00 PM and 3:00 PM.,احصل على خصم 15% على فاتورة غدائك من الأحد إلى الخميس بين 12:00 ظهراً و3:00 عصراً.,Valid Sun–Thu only. Not valid on public holidays or in combination with other offers.,ساري الأحد–الخميس فقط. غير ساري في الأعياد أو مع عروض أخرى.,,15%,01/06/2026,31/12/2026,,LUNCH15
OFFER-005,Abou El Sid Restaurant,Romantic Nile Dinner,عشاء النيل الرومانسي,Celebrate with a complimentary dessert platter for two on any dinner booking of 500 EGP or more.,احتفل بطبق حلويات مجاني لشخصين عند أي حجز عشاء بقيمة 500 جنيه أو أكثر.,One complimentary dessert platter per table. Valid for dinner service only (after 7 PM). Reservations required.,طبق حلويات مجاني واحد لكل طاولة. للعشاء فقط (بعد 7 مساءً). الحجز مطلوب.,0,,01/06/2026,30/09/2026,150,ABOU500
OFFER-006,Abou El Sid Restaurant,Weekend Brunch Discount,خصم برانش عطلة نهاية الأسبوع,Enjoy 15% off our full brunch menu every Friday and Saturday.,استمتع بخصم 15% على قائمة البرانش الكاملة كل جمعة وسبت.,Valid Fri–Sat only. Cannot be combined with other offers. Dine-in only.,ساري الجمعة–السبت فقط. لا يُدمج مع عروض أخرى. للأكل داخل المطعم فقط.,,15%,01/06/2026,31/12/2026,300,BRUNCH15
OFFER-007,Zooba,Egyptian Street Food Combo,كومبو الأكل الشعبي المصري,Order any two main dishes and get a free traditional Egyptian drink (karkade or tamarind).,اطلب أي طبقين رئيسيين واحصل على مشروب مصري تقليدي مجاني (كركديه أو تمر هندي).,One free drink per order. Valid for dine-in and takeaway.,مشروب مجاني واحد لكل طلب. صالح للأكل داخل المطعم والتيك أواي.,0,,01/06/2026,31/12/2026,400,ZOOBA2GO
OFFER-008,Zooba,App Order Discount,خصم طلب التطبيق,Get 20% off your first order when you place it through the Zooba app.,احصل على خصم 20% على طلبك الأول عند تقديمه عبر تطبيق زوبا.,Valid for first-time app orders only. One use per account.,صالح لأول طلب عبر التطبيق فقط. استخدام واحد لكل حساب.,,20%,01/06/2026,31/12/2026,,ZOOBAAPP20
OFFER-009,Cairo Marriott Hotel,Weekend Nile View Stay,إقامة عطلة نهاية الأسبوع بإطلالة النيل,Book a weekend stay (Fri–Sat) and enjoy 20% off the standard room rate plus complimentary breakfast for two.,احجز إقامة نهاية الأسبوع (جمعة–سبت) واستمتع بخصم 20% على سعر الغرفة العادي مع إفطار مجاني لشخصين.,Booking must be made at least 3 days in advance. Subject to room availability. Non-refundable.,يجب الحجز قبل 3 أيام على الأقل. يخضع لتوافر الغرف. غير قابل للاسترداد.,,20%,01/06/2026,31/12/2026,100,MARRIOTT20
OFFER-010,Cairo Marriott Hotel,Dining Credit for Hotel Guests,رصيد طعام لنزلاء الفندق,Stay 2 nights or more and receive a 300 EGP dining credit to use at any of our hotel restaurants.,أقم ليلتين أو أكثر واحصل على رصيد طعام بقيمة 300 جنيه تستخدمه في أي من مطاعم الفندق.,Credit valid during stay only. Cannot be exchanged for cash. Minimum 2-night stay required.,الرصيد صالح خلال الإقامة فقط. لا يُستبدل بنقود. يشترط الإقامة ليلتين كحد أدنى.,300,,01/06/2026,31/12/2026,150,MARRIOTT300
OFFER-011,Sofitel Cairo Nile El Gezirah,Luxury Spa & Stay Package,باقة السبا والإقامة الفاخرة,Book any room for 2+ nights and receive a complimentary 60-minute couple's spa session valued at 800 EGP.,احجز أي غرفة لليلتين أو أكثر واحصل على جلسة سبا للأزواج مجانية لمدة 60 دقيقة بقيمة 800 جنيه.,Spa session must be booked in advance. Subject to availability. Non-transferable.,يجب حجز جلسة السبا مسبقاً. يخضع للتوافر. غير قابل للتحويل.,800,,01/06/2026,30/09/2026,80,SOFITELSPA
